id,yearBuilt,numberOfFloors,energyStarScore,electricity,emissionsIntensity
26761,2007,3,16.0,2382063.0,0.2
19570,1969,1,16.0,967163.0,2.8
23888,1984,3,16.0,1610529.0,0.2
24104,1945,1,16.0,540392.0,0.1
25761,1990,2,16.0,5913938.0,0.3
776,1988,5,16.0,6680467.0,0.6
449,1962,3,16.0,17485957.0,1.6
20321,1975,3,16.0,3558951.0,0.1
19870,2000,6,16.0,1344921.0,1.6
19559,1967,1,17.0,595507.0,3.3
27141,1992,3,17.0,1438863.0,0.1
22670,2008,6,17.0,5976449.0,1.1
30571,2007,3,18.0,1448689.0,3.6
23934,1960,1,18.0,1530862.0,2.8
24601,1970,3,18.0,1283268.0,0.1
23890,1981,5,18.0,2456439.0,0.2
25491,2005,4,18.0,1204392.0,1.7
21951,2008,5,18.0,8087269.0,0.3
722,1951,3,18.0,4789568.0,0.3
20094,1970,23,18.0,6203142.0,0.7
20050,1956,1,18.0,2240731.0,1.0
675,2010,15,18.0,43410125.0,2.5
27144,2002,4,19.0,848603.0,0.8
20266,1926,2,19.0,933196.0,2.4
26174,1985,3,19.0,1245259.0,0.1
22230,1966,1,19.0,4964579.0,8.1
119,1923,3,19.0,1662776.0,1.5
21177,1986,3,19.0,2717622.0,0.2
21662,1995,3,19.0,652443.0,1.2
23025,1972,8,19.0,4941654.0,0.9
21902,1979,1,19.0,711246.0,0.1
21179,1979,3,19.0,1788339.0,0.5
495,1994,4,19.0,8680868.0,0.5
27013,1960,1,19.0,890000.0,0.4
23319,1982,17,19.0,2726345.0,0.1
23641,1970,12,19.0,4328907.0,0.1
198,1953,10,19.0,106496845.0,9.1
27903,2000,3,20.0,4073211.0,0.6
24525,1985,4,20.0,3784921.0,0.1
26607,2005,4,20.0,1386332.0,2.6
49979,1953,0,20.0,9457269.0,2.2
28019,1953,2,20.0,412713.0,2.1
22676,1968,2,20.0,1161420.0,1.3
22746,1975,3,20.0,2187120.0,0.1
21097,1916,2,20.0,411259.0,0.0
21535,1959,4,20.0,1815452.0,1.9
23290,2009,6,20.0,1404339.0,1.2
23689,1957,2,20.0,570790.0,1.1
552,1968,1,21.0,7352290.0,0.8
23228,1994,1,21.0,7238213.0,7.2
19534,1989,4,21.0,1142570.0,0.1
24252,1984,4,21.0,1393659.0,0.1
25679,1925,3,21.0,350515.0,5.1
50068,1955,1,21.0,817313.0,4.1
20162,2012,7,22.0,1630190.0,2.9
23578,1930,3,22.0,229658.0,3.6
23834,1953,1,22.0,758694.0,0.1
20917,1922,3,22.0,835264.0,3.6
49687,2003,4,22.0,8234633.0,1.6
